week,Week - Text,average_days_to_permit,Target
05/30/2011,5/30/2011,31,89
06/06/2011,6/6/2011,47,89
06/13/2011,6/13/2011,215,89
06/20/2011,6/20/2011,35,89
06/27/2011,6/27/2011,48.86,89
07/04/2011,7/4/2011,22.33,89
07/11/2011,7/11/2011,27.64,89
07/18/2011,7/18/2011,51.63,89
07/25/2011,7/25/2011,64.38,89
08/01/2011,8/1/2011,45.83,89
08/08/2011,8/8/2011,0,89
08/15/2011,8/15/2011,80.75,89
08/22/2011,8/22/2011,36,89
08/29/2011,8/29/2011,65.33,89
09/05/2011,9/5/2011,63.5,89
09/12/2011,9/12/2011,0,89
09/19/2011,9/19/2011,46,89
09/26/2011,9/26/2011,68,89
10/03/2011,10/3/2011,31,89
10/10/2011,10/10/2011,38.5,89
10/17/2011,10/17/2011,120,89
10/24/2011,10/24/2011,40.5,89
10/31/2011,10/31/2011,42,89
11/07/2011,11/7/2011,92.75,89
11/14/2011,11/14/2011,41,89
11/21/2011,11/21/2011,48.71,89
11/28/2011,11/28/2011,45,89
12/05/2011,12/5/2011,44.29,89
12/12/2011,12/12/2011,47.33,89
12/19/2011,12/19/2011,19,89
12/26/2011,12/26/2011,53,89
01/02/2012,1/2/2012,30.33,89
01/09/2012,1/9/2012,50.57,89
01/16/2012,1/16/2012,26.84,89
01/23/2012,1/23/2012,50.66,89
01/30/2012,1/30/2012,105.64,89
02/06/2012,2/6/2012,105.16,89
02/13/2012,2/13/2012,74.86,89
02/20/2012,2/20/2012,73.9,89
02/27/2012,2/27/2012,32.67,89
03/05/2012,3/5/2012,22,89
03/12/2012,3/12/2012,69,89
03/19/2012,3/19/2012,43.26,89
03/26/2012,3/26/2012,40.33,89
04/02/2012,4/2/2012,44.63,89
04/09/2012,4/9/2012,51.53,89
04/16/2012,4/16/2012,61,89
04/23/2012,4/23/2012,52,89
04/30/2012,4/30/2012,116.63,89
05/07/2012,5/7/2012,50.33,89
05/14/2012,5/14/2012,37.56,89
05/21/2012,5/21/2012,65.22,89
05/28/2012,5/28/2012,94,89
06/04/2012,6/4/2012,85.54,89
06/11/2012,6/11/2012,60.67,89
06/18/2012,6/18/2012,49.22,89
06/25/2012,6/25/2012,63.11,89
07/02/2012,7/2/2012,138.5,89
07/09/2012,7/9/2012,43.2,89
07/16/2012,7/16/2012,47.33,89
07/23/2012,7/23/2012,101,89
07/30/2012,7/30/2012,35,89
08/06/2012,8/6/2012,65.33,89
08/13/2012,8/13/2012,59,89
08/20/2012,8/20/2012,10,89
08/27/2012,8/27/2012,58.6,89
09/03/2012,9/3/2012,38.75,89
09/10/2012,9/10/2012,27.5,89
09/17/2012,9/17/2012,47,89
09/24/2012,9/24/2012,121.8,89
10/01/2012,10/1/2012,43,89
10/08/2012,10/8/2012,71.5,89
10/15/2012,10/15/2012,68.91,89
10/22/2012,10/22/2012,,89
10/29/2012,10/29/2012,36,89
11/05/2012,11/5/2012,125.5,89
11/12/2012,11/12/2012,99,89
11/19/2012,11/19/2012,209,89
11/26/2012,11/26/2012,74.11,89
12/03/2012,12/3/2012,82,89
12/10/2012,12/10/2012,54.6,89
12/17/2012,12/17/2012,64.5,89
12/24/2012,12/24/2012,75.25,89
12/31/2012,12/31/2012,74,89
01/07/2013,1/7/2013,91.6,89
01/14/2013,1/14/2013,51.13,89
01/21/2013,1/21/2013,51,89
01/28/2013,1/28/2013,113.5,89
02/04/2013,2/4/2013,80.34,89
02/11/2013,2/11/2013,138.4,89
02/18/2013,2/18/2013,90.75,89
02/25/2013,2/25/2013,161,89
03/04/2013,3/4/2013,141.67,89
03/11/2013,3/11/2013,93.36,89
03/18/2013,3/18/2013,67.83,89
03/25/2013,3/25/2013,91.4,89
04/01/2013,4/1/2013,132.5,89
04/08/2013,4/8/2013,113,89
04/15/2013,4/15/2013,81.26,89
04/22/2013,4/22/2013,93.4,89
04/29/2013,4/29/2013,93.03,89
05/06/2013,5/6/2013,104.2,89
05/13/2013,5/13/2013,123.67,89
05/20/2013,5/20/2013,139.38,89
05/27/2013,5/27/2013,108.5,89
06/03/2013,6/3/2013,72.2,89
06/10/2013,6/10/2013,23,89
06/17/2013,6/17/2013,65,89
06/24/2013,6/24/2013,48,89
07/01/2013,7/1/2013,33,89
07/08/2013,7/8/2013,75.36,89
07/15/2013,7/15/2013,77,89
07/22/2013,7/22/2013,123.75,89
07/29/2013,7/29/2013,102.25,89
08/05/2013,8/5/2013,58.2,89
08/12/2013,8/12/2013,110.75,89
08/19/2013,8/19/2013,98,89
08/26/2013,8/26/2013,71.57,89
09/02/2013,9/2/2013,34,89
09/09/2013,9/9/2013,98,89
09/16/2013,9/16/2013,82,89
09/23/2013,9/23/2013,92.5,89
09/30/2013,9/30/2013,263,89
10/07/2013,10/7/2013,79.33,89
10/14/2013,10/14/2013,59,89
10/21/2013,10/21/2013,51,89
10/28/2013,10/28/2013,49.01,89
11/04/2013,11/4/2013,94.6,89
11/11/2013,11/11/2013,55,89
11/18/2013,11/18/2013,58,89
11/25/2013,11/25/2013,93.99,89
12/02/2013,12/2/2013,89,89
12/09/2013,12/9/2013,39.8,89
12/16/2013,12/16/2013,76.5,89
12/23/2013,12/23/2013,117,89
12/30/2013,12/30/2013,25,89
01/06/2014,1/6/2014,97,89
01/13/2014,1/13/2014,72.62,89
01/20/2014,1/20/2014,152,89
01/27/2014,1/27/2014,128.4,89
02/03/2014,2/3/2014,70,89
02/10/2014,2/10/2014,63.5,89
02/17/2014,2/17/2014,39.33,89
02/24/2014,2/24/2014,69,89
03/03/2014,3/3/2014,93.84,89
03/10/2014,3/10/2014,87,89
03/17/2014,3/17/2014,93.9,89
03/24/2014,3/24/2014,105.67,89
03/31/2014,3/31/2014,80.2,89
04/07/2014,4/7/2014,52,89
04/14/2014,4/14/2014,99.5,89
04/21/2014,4/21/2014,193.5,89
04/28/2014,4/28/2014,59.6,89
05/05/2014,5/5/2014,74,89
05/12/2014,5/12/2014,65.75,89
05/19/2014,5/19/2014,65,89
05/26/2014,5/26/2014,56.5,89
06/02/2014,6/2/2014,61.34,89
06/09/2014,6/9/2014,59.33,89
